Sites,Lat,Long,Lat-long
Washington,47.966198,-124.400347,"47.966198,-124.400347"
Montana,48.491746,-113.692137,"48.491746,-113.692137"
Oregon,43.364414,-124.243242,"43.364414,-124.243242"
California,37.799916,-122.18023,"37.799916,-122.18023"
Hawaii,21.292278,-157.841563,"21.292278,-157.841563"
Nevada,36.713442,-115.982166,"36.713442,-115.982166"
Arizona,35.320851,-111.795914,"35.320851,-111.795914"
Wyoming,43.673531,-110.068592,"43.673531,-110.068592"
Idaho,47.56525,-115.874666,"47.56525,-115.874666"
Utah,37.38355,-113.16795,"37.38355,-113.16795"
New Mexico,35.426718,-106.872155,"35.426718,-106.872155"
Colorado,39.192022,-108.061878,"39.192022,-108.061878"
North Dakota,46.464417,-102.93869,"46.464417,-102.93869"
South Dakota,43.604395,-103.243509,"43.604395,-103.243509"
Kansas,37.711657,-101.296146,"37.711657,-101.296146"
Illinois,41.85597,-87.784753,"41.85597,-87.784753"
Indiana,41.047357,-85.209516,"41.047357,-85.209516"
Florida,28.672858,-81.459509,"28.672858,-81.459509"
Alaska,58.394981,-134.915251,"58.394981,-134.915251"
Ohio,41.603864,-83.648527,"41.603864,-83.648527"
Michigan ,42.002672,-86.244735,"42.002672,-86.244735"
